personLabel,personDescription
Louise A. Lewis,researcher
Helga Ochoterena-Booth,botanist (1969-1999)
Mary Riggs Noble,American physician and civil servant
Hildegard Stücklen,American physicist
Joanne Cohn,American physicist
Barbara Ross-Lee,médica estadounidense
Madhu Dikshit,Indian pharmacologist
Ruth I. Michler,American-born mathematician
Anne Brüggemann-Klein,Hochschullehrerin
Linda Sanborn,American physician
Gloria  Dubner,Argentina astrophysicist
Eve Slater,American physician who served as the United States Assistant Secretary for Health and Human Services
Vilma Hugonnai,first Hungarian female physician
Ellen Schmidt,"deutsche Ärztin, erste Rektorin an der Medizinischen Hochschule Hannover"
Amy Langville,American mathematician
Clotilde Pérez García,krisha
Kerstin Tackmann,German physicist
Tatiana Giraud,researcher
Bettina Speckmann,German computer scientist
Shelley D. Minteer,professor of analytical chemistry
Solange Lavielle,French chemist & academic
Merbai Ardesir Vakil,Indian physician and the first Asian woman to graduate from a Scottish university
Tara Hernandez,software developer and open source contributor
Padma Raghavan,computer scientist
Marga Werkhoven,Dutch botanist
Renu C. Laskar,Indian-born American mathematician
Lucille Farrier Stickel,American wildlife toxicologist
Rosalind Brewer,American business executive and chemist
Margaret Stones,Australian botanical illustrator (1920-2018)
Bożena Kiziewicz,Polish biologist
Henda Swart,South African mathematician
Ruth Aylett,British Computer scientist
Sin Yeng Wong,botanist
Buyisiwe Sondezi,South African physicist
Mary Corner,British pharmacist
Fatma Moalla,Tunisian mathematician
Agnes Kaposi,British-Hungarian engineer
Marian Small,Educational researcher
Christiane Eva Anderson,botanist
Clare Archer,botanist
Cristina H. Rolleri,botanist
D.Yu. Tsyrenova,botanist
Elvinia Santana,botanist
Erin Anne Tripp,botanist
G.G. Gadzhieva,botanist
Geneviève Mimeur,botanist
Helen Elizabeth Ireland,botanist
Hester L. Bell,botanist
Ilse Rensch,botanist
L.M. Pshennikova,botanist
Maragowdanahalli Hombegowda Mari Gowda,botanist
Margaretha Janowski,botanist
Melanie Schori,botanist
O.A. Muravjeva,botanist
Tara S. Holm,mathematician
V. Chithra,botanist
Yeng Fen Wu,botanist
Jennifer Loros,Chronobiologist
Anneliese Hitzenberger,Austrian physician
Elizabeth Andrew Warren,Cornish botanist (1786-1864)
Virpi Lummaa,Finnish evolutionary biologist
Ravindra and Smita Kolhe,Indian social activists
Arzu Çerkezoğlu,Turkish physician and trade union leader
Tatyana Valerievna Krestovskaja,Russian botanist
Biola Javierre,bióloga e investigadora española
Camilla Pettersen,Norwegian author
Evelyn Miralles,NASA VR Engineer
Sarah Salmond,"Governess, astronomer"
Mariana Bertola,"American educator, physician, and reformer"
Ana María Rovira,Spanish botanist
Maria Leonor D'El Rei Souza,Brazilian botanist
Amparo Vila,spanische Informatikerin und Mathematikerin
Azra Raza,Columbia University medical researcher
Elina Ikonen,finnish researcher
Ludmila Bukhtiyarova,"botánica, ficología, taxonomía"
Mary Anderson Marshall,Scottish physician
Helen Battle,Canadian marine biologist
Caroline Pellew,British botanist
Ruth Agnes Daly,American astrophysicist
Mimi Belmonte,Canadian physician
Yvonne Lassia,botanist (1897-1974)
Aradhna Tripati,"Geophysicist, earth scientist"
Sirkka Kupila-Ahvenniemi,Finnish botanist (1927-2012)
Laura Mela,Finnish painter (1964-2009)
Margaret Dorothea Rowbotham,engineer
Sheri McCoy,"business executive, scientist"
Nadia Ramassamy,French politician
Fatimat Aslanbievna Tembotova,russische Biologin
Galina Arkadevna Batalova,russische Biologin
Ljubov Vjatsjeslavovna Rimareva,russische Biologin
Ljudmila Andreevna Bespalova,russische Biologin
Olga Silvestrovna Afanasenko,russische Biologin
Marsha Richmond,American biologist
Mercedes Siles Molina,Spanish mathematician
Marta Torrens Mèlich,"spanische Ärztin, Forscherin und Professorin"
Patricie Kotalíková,Czech member of Czech Parliament (2010–2013) and doctor
Abigail Doyle,researcher
Hilda Ingold,British chemist
Mariam Al Jalahma,"Bahraini physician, civil servant and politician"
Rita Charon,American physician
Ada Hayden,"American botanist, educator, curator and preservationist (1884-1950)"
Ines Safi,French-Tunisian physicist
Louisa E. Rhine,Botanist and parapsychologist (1891-1983)
Vjera Holthoff-Detto,German physician
Andreja Kocijančič,Slovene physician
Khalida al-Qaisi,"Iraqi doctor, researcher and scientist"
Elisa Quintana,American astronomer
Lina Nilsson (scientist),American biologist
Mireille Gettler-Summa,French mathematician and academic
Chiu-Chu Melissa Liu,American mathematician
Anne Sverdrup-Thygeson,Norwegian biologist
Jeanne Dumée,French astronomer
Adela Muñoz Páez,spanische Schriftstellerin und Chemikerin
Lubna Tahtamouni,Jordanian biologist and cancer researcher
Renee Van Buren,American botanist
Sigrid Rissler,Swedish botanist (1886-1918)
Alice E. Shapley,American astronomer
Tara Ruttley,"American engineer, scientist"
Regene Lewis,britische Kryptoanalytikerin
Svitlana Moroziuk,Ukrainian botanist (1937-2019)
Runa Sandvik,privacy and security researcher
Tinne Hoff Kjeldsen,Danish mathematician
Christiane Rousseau,Canadian mathematician
Dorotea Bucca,Italian physician
Marie-Françoise Roy,French mathematician and academic
Anna Niwald,Polish pediatric ophthalmologist
Irina Chukayeva,russische Ärztin
Alice Mary Hilton,"British-American mathematician, academic and author"
Galina Tyurina,Russian mathematician
Sabina Donadío,Argentinian botanist
Gertrude Herzfeld,British doctor
Krystyna Bartz,Polish mathematician
Gracineide Selma Santos de Almeida,botanist
Lillian Dyck,Canadian senator
Bulbul Chakraborty,Enid and Nate Ancell Professor of Physics at Brandeis University
Alice Perry,Irish engineer
Julia Mundy,American experimental condensed matter physicist
Sally L. Wood,engineer at Santa Clara University
Zigrīda Eglīte,Latvian botanist (b. 1936)
Isabel Sola,researcher
Sonia Antoranz Contera,researcher
Sarrah Ben M'barek,Dutch-Tunisian researcher
Toniann Pitassi,"Mathematician, Computer scientist"
Liz Bacon,Professor of computer science
Eva Marková,Czech astronomer
Zofia Weigl,biologist
Felisa Núñez Cubero,Spanish physicist
Jaanika Blomster,"botánica, ficología, taxonomía, profesorado"
Barbara K. Felber,American biologist
Hilda Hartle,British chemist
Sibyl Taite Widdows,British chemist
Fabiola Gianotti,Italian particle physicist and  CERN Director-General
Magdalena Stobińska,Polish physicist
Cornelia Harte,German botanist (1914-1998)
Dorothy Adlington Cadbury,British botanist and company dircetor (1892-1987)
Julielynn Wong,"Canadian scientist, physician and pilot"
Catherine Stampfl,Theoretical condensed matter physicist
Grażyna Świderska-Kołacz,Polish biologist
Cheryl Bartlett,Canadian biologist
Sonia Ben Cheikh,Tunisian politician
Élisabeth Bouscaren,French mathematician
Anne Fanning,Canadian physician and researcher
Nazlı Bahar Pelit,Turkish botanist
Ann E. Watkins,American mathematician
Élisabeth Borne,French politician
Jeanine Dewit,botanist
Petala Gomes Ribeiro,botanist
Birgit Speh,American woman mathematician
Rochelle Diamond,American research biologist and queer activist
Glafira Zielgelmann,femme médecin française d'origine russe
Gudrun Klinker,German computer scientist and professor
Juliet Lee-Franzini,American physicist
Susanne Wetzel,German computer scientist and professor
Alice Emily Smith,British chemist
Gretel Campi,Cuban footballer
María Jesús Peñarrubia,"Spain Doctor of Medicine, specialist in hematology"
Karen Yeats,Canadian mathematician and mathematical physicist
Ludmiła Hausbrandt,Russian botanist (1914-1997)
Maria Tchernycheva,Russian nanotechnologist
Fernanda Pinilla,Chilean footballer
Beronda Montgomery,researcher
Elena Liliana Popescu,Romanian poet
Gindetta Mariani,Italian botanist (1870-1950)
Karen Leanne Bell,"botánica, palinología, taxonomía, profesorado"
Charlotte Haug,Norwegian physician and editor
Gabriele Kaiser,German mathematics educator
Maud Perry Menzies,Scottish public health doctor
Renuka Ravindran,Indian academic
Charlotte Davis Mooers,American computer scientist
Tamara Danielyan,Armenian physician
Brigitte Boisselier,French chemist
Juliet Frankland,British mycologist (1929–2013)
Tiarna Ernst,Australian rules footballer
Käte Frankenthal,German-American physician and politician (1889-1976)
Suzanne Jane Wilkinson,researcher
Brigitte Bout,French politician
Mariangiola Dezani-Ciancaglini,Italian logician and theoretical computer scientist
Yvonne Aitken,botanist (1911-2004)
Rona Gurkewitz,American mathematician and computer scientist
Xia Sisi,Chinese physician
Eszter Pécsi,"Hungarian architect, structural engineer"
Dorothy Blum,American computer scientist and cryptanalyst
Anna Maria Ciccone,physicienne italienne
Jeanneth Pérez,"bióloga, botánica, zoóloga, entomóloga, fitosocióloga, exploradora, taxónoma, profesora"
Magdalena Klimek-Ochab,"Polish biochemist, university teacher and biotechnologist"
Sara Ellison,astronomer
Kristen Sellgren,American astronomer
Angelika Steger,Mathematician and computer scientist
Eva Klein,Hungarian-Swedish biologist
Margarethe Goeb,German mathematician
Elfriede Hirschfeld,French physician
Rebecca Gomperts,"Dutch physician, founder of Women on Waves"
Marta Szachniuk,Polish computer scientist
Zofia Michalewska,Polish physician
Bettina Meyer,German Antarctic researcher
Zofia Sadowska,polish physician
Crystal Mackall,American physician and immunologist
Emily Blackwell,English-born American physician
Emmy Stein,German geneticist and botanist (1879–1954)
Tasha Inniss,American mathematician
Connie Yerwood Connor,American physician
Sara Rietti,primera química nuclear de Argentina
Anna Ślawska-Waniewska,Polish physicist
Marta Navarrete,Spanish researcher and chemist
Unni Eikeseth,"Norwegian chemist, writer and journalist"
Dorothy Semenow,"American chemist, first woman graduate student at Caltech"
Stella Abidh,Trinidad and Tobago physician. First Indo-Trinidadian woman doctor
Janet Guernsey,American physicist (1913-2001)
Eleanor Mildred Sidgwick,British mathematician & college principal
Nicola Brasch,researcher
Catherine Dolto,French physician & writer
Françoise Combes,French physicist
Alicia Escardó,escritora y gestora cultural uruguaya
Jean Langenheim,American plant ecologist and ethnobotanist
Eloisa Biassoto Mano,"Brazilian chemist, expert on polymers (1924-2019)"
Alison Gail Smith,Professor of Plant Biochemistry
Else Hirschberg,German chemist (1892–1942)
Maya Mazurenko,botanist (1935-2013)
Pascuala García Martínez,Spanish physicist and docent
Nina Roscher,American chemist
Sylvia Wilbur,British computer scientist
Rachel Rotenberg,femme médecin française
Andreja Gomboc,Slovene astrophysicist
Barbara A. Maher,British physicist
Margery Knight,British algologist and botanical artist
Eva Ekeblad,Swedish scientist (1724-1786)
María Isabel Arriortua,scientist from Spain
Barbara J. Finlayson-Pitts,American atmospheric chemist
Isabella Preston,botanist (1881-1965)
Antonella Grassi,Italian mathematician
Marianne V. Moore,American aquatic ecologist
Huguette Delavault,French mathematician
Françoise Wilhelmi de Toledo,Physician and fasting expert
Fabiane Nepomuceno Costa,Brazilian botanist and taxonomist
Marion Elizabeth Stark,American mathematician
V. Lakshmibai,an Indian mathematician
Cornelia Gillyard,American organic chemist
Belita Koiller,Brazilian physicist
Joanne Marcotte,Canadian activist
Frances Harshbarger,American mathematician
Enriqueta González Baz,Mexican mathematician
Fatma Betül Sayan Kaya,Turkish politician (AKP)
Margarita Parra Álvarez,Spanish chemist and university lecturer
Sharla Boehm,Programmed the first packet switching
Tamar Schlick,American mathematician
Anna Erschler,Russian mathematician
Jocelyne Troccaz,researcher
Laurence Danon,businessperson
Solenn Colléter,French writer
Stella Vardanyan,"Armenian  physician-historian, oncologist"
Geneviève Darrieussecq,French physician and politician
Dorothy Ruiz-Martínez,Mexican engineer
Diana Sarno,Italian botanist
Carolyn Bertozzi,American chemist
Helen M. Berman,American chemist
Mary L. Good,American chemist
Rachel Fuller Brown,American chemist
Rebecca Grinter,American computer scientist
Wendy Hall,British computer scientist
Krystyna Bernacka,Polish internist and rheumatologist
Elizabeth V. Gillette,American physician and politician
Rachel Haurwitz,American biochemist
Sarah Bridle,British astrophysicist
Veronika Straass,German biologist and children's writer
Verena Meyer,Swiss physicist (1929-2018)
Verina Morton Jones,African-American physician
Mildred Cohn,American biochemist
Giulia Galli,American condensed-matter physicist
Tina van de Flierdt,British geochemist
Francisca Praguer Fróes,Brazilian physician and activist
Basma Abdel Aziz,"ägyptische Schriftstellerin, Journalistin, Künstlerin, Psychiaterin und Menschenrechtsaktivistin"
Michèle Sebag,French computer scientist
Laura Ross Wolcott,American physician
Katarzyna Pietruska-Pałuba,Polish mathematician
Elsa Reichmanis,American chemist
Ethel Bailey Higgins,American botanist (1866-1963)
Simone Fischer-Hübner,researcher
Jeanne Renaud-Mornant,French biologist
Frances A. Rosamond,Australian computer scientist
Diána Ürge-Vorsatz,professor of Environmental Sciences at Central European University
Giedrė Purvaneckienė,Lithuanian physicist and university teacher
Jennie L. S. Simpson,Canadian-American botanist (1894-1977)
Maria Cristina Dreher Mansur,"brasilianische Biologin, Malakologin und Ichthyologin"
Maria Leonor de Sousa Gonçalves,"Portuguese botanist, taxonomist (1934-2004)"
Sonia Fernández-Vidal,"spanische Schriftstellerin, Unternehmerin, Physikerin und Wissenschaftskommunikatorin"
Winsome Fanny Barker,South African botanist (1907–1994)
Haesun Park,researcher
Nina Byers,American physicist
Martina Klärle,deutsche Ingenieurin
Nataliya Vlasenko,Ukrainian physicist
Elizabeth Gitau,Kenyan physician
Tamar Harutyunyan,therapist
Yvette Cauchois,French physicist
Carolyn Talcott,American computer scientist
Cynthia Breazeal,American computer scientist
Dana Randall,American computer scientist
Diane Pozefsky,American computer scientist
Karen Spärck Jones,British computer scientist
Margaret H. Wright,American computer scientist
Mary Allen Wilkes,American computer scientist
Reihaneh Safavi-Naini,computer scientist
Helen Blanchard,American inventor
Sue Whitesides,Canadian mathematician and computer scientist
Mary Stuart MacDougall,American biologist
Indrawati Oey,researcher
Pernilla Wittung-Stafshede,Swedish biophysical chemist
Raye Montague,American naval engineer
Zoé Chatzidakis,mathematician
Ella Webb,paediatrician
Ndioro Ndiaye,Senegalese politician
Ritva Serimaa,physicist and professor
Sarah Gerken,researcher
Leokadia Bialas-Ciez,Polish mathematician
Edmée Engel,Luxembourgish biologist
Ewa Hołuszko,"Polish physicist, trade unionist and transgender rights activist"
Johanna Bash-Liechti,Swiss chemist and psychiatrist (1907-1980)
Silke Seehusen,German professor of computer science
Louise Rickard,rugby player
Elisabeth Raith-Paula,deutsche Medizinerin und Buchautorin
Riitta Hari,"Finnish neuroscientist, physician and professor"
Mònica Almiñana Riqué,Spanish politician and physician
Estrella Abecassis de Laredo,"Venezuelan scientist, researcher and professor"
