personLabel,occupationLabel,institutionLabel
Q58927046,physicist,Ufa State Aviation Technical University
Stephanie M Carlson,biologist,University of Washington
Elzada Clover,botanist,University of Michigan
Laura M. Haas,computer scientist,Harvard University
Yuanyuan Zhou,computer scientist,Princeton University
Susan Kilrain,engineer,Georgia Institute of Technology
Rosa Olga Sansom,botanist,Southland Girls' High School
Jane Hunter,data scientist,University of Cambridge
Paloma Mas,biologist,University of Murcia
Luisa Ottolini,physicist,University of Pavia
Julie Zickefoose,biologist,Harvard University
Martha Bunting,biologist,Columbia University
Ann Graybiel,biologist,Massachusetts Institute of Technology
Diana Marcela Bolaños Rodriguez,biologist,Jorge Tadeo Lozano University
Susan Kilrain,engineer,United States Naval Test Pilot School
دينا المشهري,chemist,Taiz University
Odile Fillod,engineer,École Centrale Paris
Lydie Roskovcová,physicist,"Faculty of Mathematics and Physics, Charles University"
Carol Christian,astronomer,Boston University
Carol Christian,astronomer,Boston University College of Arts and Sciences
Rosalie Slaughter Morton,physician,University of Pennsylvania
Marisa Crespo Leiro,physician,University of Santiago de Compostela
Vera Pless,mathematician,Northwestern University
Vicki Wysocki,chemist,Purdue University
Nataša Šešum,mathematician,Massachusetts Institute of Technology
Sonia Fernández-Vidal,physicist,Autonomous University of Barcelona
Julianna Tymoczko,mathematician,Harvard University
Q63426362,physician,Donetsk National Medical University
Q98520200,physician,Donetsk National Medical University
Q4172272,physician,Izhevsk State Medical Academy
Helen Aston,botanist,University of Melbourne
Q20066741,physician,Danylo Halytsky Lviv National Medical University
Q23659370,physician,Danylo Halytsky Lviv National Medical University
Q20020961,physicist,NTU Dnipro Polyteсhnic
Claudia Parsons,engineer,Loughborough University
Q75171172,physician,Russian Medical Postgraduate Academy
Q21088207,physician,Stavropol State Medical University
Q42889558,physician,Kazan State Medical University
Q62774421,physician,Kazan State Medical University
Q98073157,physicist,Artsakh University
Kei Okami,physician,Woman's Medical College of Pennsylvania
Wang Yening,physicist,Nanjing University
Irma Levasseur,physician,University of Minnesota
Bonnie A. Charpentier,chemist,University of Houston
Margaret Ensign Lewis,botanist,Arkansas Tech University
Marjolein Kriek,biologist,Leiden University
Maria Spasova,chemist,Technical University of Sofia
Elizabeth Blackburn,biologist,University of Cambridge
Virginia M. Alexander,physician,Woman's Medical College of Pennsylvania
Ursula Goodenough,biologist,Columbia University
Ruzena Bajcsy,engineer,Slovak University of Technology in Bratislava
Reidun Twarock,mathematician,University of Bath
M. C. Albuquerque,physician,Madras Medical College
Wanda Gugnacka-Fiedor,biologist,Nicolaus Copernicus University in Toruń
Q61118405,physicist,University of Marburg
Primavera Izaguirre,botanist,Universidad de la República - Udelar
Alejandra Melfo,physicist,International School for Advanced Studies
Sabina Donadío,botanist,University of Buenos Aires
Q12579295,physicist,Al-Farabi Kazakh National University
Q12536986,physicist,Al-Farabi Kazakh National University
Q12539799,physicist,Al-Farabi Kazakh National University
Q12539820,physicist,Al-Farabi Kazakh National University
Q16437682,physicist,Al-Farabi Kazakh National University
Zuleyma Tang-Martínez,biologist,"University of California, Berkeley"
Annie Marie Watkins Garraway,mathematician,Northwestern University
Yvonne Choquet-Bruhat,physicist,École normale supérieure
Elmira Gevorgyan,physician,Yerevan State Medical University
Juanita Ángel Uribe,physician,Our Lady of the Rosary University
Terry Orr-Weaver,biologist,Harvard University
Sonia Antoranz Contera,physicist,Osaka University
Q22919355,astronomer,Moscow State University of Geodesy and Cartography
Catherine Woolley,chemist,The Rockefeller University
Alison Etheridge,mathematician,University of Oxford
Q12532480,physician,National University of Uzbekistan
Marcia P. Sward,mathematician,Vassar College
Mary Gehring,biologist,Williams College
Sonia Antoranz Contera,physicist,Autonomous University of Madrid
Kathleen Antonelli,mathematician,Chestnut Hill College
Nazira Karodia,chemist,University of St Andrews
Ethel Sargant,botanist,North London Collegiate School
Pamela Zave,computer scientist,University of Wisconsin–Madison
Marie Curie,physicist,Flying University
Rajaâ Cherkaoui El Moursli,physicist,Joseph Fourier University
Elda Pucci,physician,University of Palermo
Q78418459,physicist,Bashkir State University
Alina Payne,physician,University of Toronto
Barbro Åsman,physicist,Stockholm University
Mary Locke Petermann,chemist,Smith College
Lidija Streljajeva,botanist,Tavrida National V.I. Vernadsky University
Rafaela Campostrini Forzza,botanist,University of São Paulo
Carmen Magallón,physicist,University of Zaragoza
Jaylee Burley Mead,astronomer,Stanford University
Q10918699,chemist,National Taiwan University
Q9085321,physician,St. John's University
Karen Ellen Smith,mathematician,University of Michigan
Isabella Abbott,botanist,Kamehameha Schools
Aline Huke Frink,mathematician,University of Chicago
Sonja Ashauer,physicist,University of São Paulo
Anna Christina Nobre,physician,Harvard University
Juçara Bordin,botanist,University of São Paulo
Vera Balandina,chemist,Bestuzhev Courses
Q65146757,physicist,Novosibirsk State University
Jocelyn Gill,astronomer,Yale University
Elizabeth Ofili,physician,Ahmadu Bello University
Alice Vickery,physician,London School of Medicine for Women
Salome Maswime,physician,University of KwaZulu-Natal
Q12532856,chemist,Al-Farabi Kazakh National University
Q12539821,chemist,Al-Farabi Kazakh National University
Q16435670,chemist,Al-Farabi Kazakh National University
Q30346228,chemist,Al-Farabi Kazakh National University
Ntina Akkelidou,chemist,Peoples' Friendship University of Russia
Cissy Kityo,physician,Makerere University
Alice S. Huang,biologist,Johns Hopkins University
Renate Loll,physicist,University of Freiburg
Wiebke Drenckhan,physicist,Trinity College Dublin
Kathie-Ann Joseph,physician,Columbia University College of Physicians and Surgeons
Ille Gebeshuber,physicist,TU Wien
Q27062751,physician,Crimea State Medical University named after S. I. Georgievsky
Q61740459,physician,Belarusian State Medical University
Q61740524,physician,Belarusian State Medical University
Q62083106,physician,Belarusian State Medical University
Q62774421,physician,Belarusian State Medical University
Q66085153,physician,Belarusian State Medical University
Q84223526,physician,Belarusian State Medical University
Q99388800,physician,Belarusian State Medical University
Q99523122,physician,Belarusian State Medical University
Q99712081,physician,Belarusian State Medical University
Q99839554,physician,Belarusian State Medical University
Rhea Boyd,physician,Vanderbilt University School of Medicine
Dianne P. O'Leary,computer scientist,Stanford University
Tshidi Moeti,physician,UCL Medical School
Ann Graybiel,biologist,Tufts University
Grania Rubomboras,engineer,Makerere University Business School
Marie Curie,chemist,Flying University
Q75697111,chemist,Bashkir State University
Sandra Eaton,chemist,Wellesley College
Maria Kypriotaki-Perraki,physician,National and Kapodistrian University of Athens
Maria Rosaria Capobianchi,biologist,Università di Napoli Federico II (publisher)
Andrea Wong,engineer,Stanford Graduate School of Business
Fay Ajzenberg-Selove,physicist,University of Wisconsin–Madison
Ernesta Di Capua,botanist,University of Catania
Mary Jean Harrold,computer scientist,University of Pittsburgh
Margaret M. Burnett,computer scientist,University of Kansas
Vilena  Martirosyan,chemist,National Polytechnic University of Armenia
Jannette B. Frandsen,engineer,Technical University of Denmark
Ruth Webster Lathrop,physician,Harvard Medical School
Q28498047,chemist,Novosibirsk State University
Yasmeen Abu-Fraiha.,physician,Hebrew University of Jerusalem
Jette Baagøe,botanist,University of Copenhagen
Ruth Webster Lathrop,physician,Johns Hopkins University
Julieta Lanteri,physician,Facultad de Medicina
Shi Meiyu,physician,University of Michigan
Daphne Koller,engineer,Stanford University
Nissaf Ben Alaya,physician,"Faculty of Medicine, Tunis - El Manar"
Michelle Simmons,computer scientist,Durham University
Alison R.H. Narayan,chemist,"University of California, Berkeley"
Aliya Venyaminova,chemist,Moscow State University
Kim Sturgess,engineer,University of Western Ontario
Nora D. Volkow,physician,New York University
Nkosazana Dlamini-Zuma,physician,University of Liverpool
Hélène Flautre,engineer,"École spéciale des travaux publics, du bâtiment et de l'industrie"
Valquíria Ferreira Dutra,botanist,Universidade Federal de Ouro Preto
Greta Panova,mathematician,Harvard University
Margaret Clay Ferguson,botanist,Cornell University College of Agriculture and Life Sciences
Lynne Quarmby,chemist,University of Connecticut
Marie Anna Schirmann,physicist,University of Vienna
Elsie Inglis,physician,University of Edinburgh
Ann Bishop,biologist,University of Manchester
Ida Noddack,physicist,Technical University of Berlin
Amy Austin,biologist,Stanford University
Margaret Walshaw,mathematician,Massey University
Mildred Fay Jefferson,physician,Harvard Medical School
Jan Salick,botanist,Cornell University
Mildred Fay Jefferson,physician,Tufts University
Elizabeth Sparrow,computer scientist,University of Southampton
Dorothy McFadden Hoover,physicist,University of Arkansas at Pine Bluff
Harriet Brooks,physicist,Newnham College
Ursula Franklin,physicist,Technical University of Berlin
Jan Salick,botanist,Duke University
Sydney Kustu,biologist,Radcliffe College
Teresa Terrazas,botanist,National Autonomous University of Mexico
Tae Ryū,physicist,Ochanomizu University
Marie-Paule Pileni,physicist,Maison d'éducation de la Légion d'honneur
Loreta Brandão de Freitas,botanist,Pontifícia Universidade Católica do Rio Grande do Sul
Ella Jones,chemist,University of Missouri–St. Louis
Jehane Ragai,chemist,The American University in Cairo
Brigita Drnovšek-Olup,physician,University of Ljubljana
Helen E. Grenga,engineer,Shorter University
Nora Berra,physician,University of Oran
Felicia Stewart,physician,"University of California, Berkeley"
Begoña Vila,engineer,University of Manchester
Anna Petronella van Heerden,physician,University of Amsterdam
Margherita Beloch Piazzolla,mathematician,Sapienza University of Rome
Lucrecia Covelo,biologist,Universidad de la República - Udelar
Lakshmi Sahgal,physician,Queen Mary's College
Mary Gaulden Jagger,biologist,Winthrop University
Marie-Hélène Schune,physicist,University of Paris-Sud
Emily Bacon,physician,Johns Hopkins School of Medicine
Karen Bailey,biologist,University of Saskatchewan
Samar Alami,engineer,University College London
Helena Rasiowa,mathematician,University of Warsaw
Patricia Simpson,biologist,Pierre and Marie Curie University
Valeriya Vasilevna Isaeva,biologist,"Faculty of Biology, Saint Petersburg State University"
Ida Noddack,chemist,Technical University of Berlin
Clare Helminiak,physician,Medical College of Wisconsin
Julie Vinter Hansen,astronomer,University of Copenhagen
Cecília Müller,physician,Medical University of Pécs
Charlotte Friend,biologist,Hunter College
Katharine Dormandy,physician,London School of Medicine for Women
Emma Ann Reynolds,physician,Provident Hospital
Cynthia Solomon,computer scientist,Harvard Graduate School of Education
Loreta Zakarevičienė,physicist,Vilnius University
Jackie Stedall,mathematician,The Open University
Nancy Marcus,biologist,Yale University
Maleyka Abbaszadeh,mathematician,Moscow State University
A. T.  Petri︠a︡eva,physician,Saratov State University
Anne Peyroche,biologist,Pierre and Marie Curie University
Stephanie L. Kwolek,chemist,Margaret Morrison Carnegie College
Marie-Paule Pileni,chemist,Maison d'éducation de la Légion d'honneur
Shereen Usdin,physician,Harvard T.H. Chan School of Public Health
Sakaye Shigekawa,physician,University of Southern California
Kateryna Boiko,engineer,Kyiv National University of Technologies and Design
Liu Yandong,chemist,Jilin University
Jennifer Tour Chayes,mathematician,Cornell University
Wendy Levinson,physician,McGill University
Mary-Anne Williams,computer scientist,University of Edinburgh
Amy Lucia Prieto,chemist,"University of California, Berkeley"
Q11067273,computer scientist,University of Science and Technology of China
Catherine Greenhill,mathematician,University of Oxford
Erika Franke,physician,Humboldt University of Berlin
Kimberlee Chambers,biologist,"University of California, Davis"
María Cumplido,mathematician,University of Seville
Fumiko Ōtsuka,mathematician,Saitama University
Paulette Legrand,physicist,École normale supérieure
Mary Louise Fossler,chemist,Northwestern University
Andrea Barthwell,physician,University of Michigan
Mary Jackson,computer scientist,Hampton University
